uuid,name,address,city,zip,exists_file1,exists_file2,number_of_occurrences
dd4c7a684a4574249dbfc4e0ad304b81f3383fd051b62dbfcc346931de4d5ac3,DKK INC,PMB 214 P O BOX 10005,SAIPAN,96950,true,false,5
bbae7541df1329b5672840acfc69b58e9b6efbf9e0fb272ade9fe1fa7c385de7,DIALAMERICA MARKETING INC,960 MACARTHUR BLVD,MAHWAH,7495,true,false,5
a28733db85df9642f814ed7ec91559d6a2982012c9747e17f6a248c36b668a44,MUSTANG GENERAL CONTRACTING,1722 W MARTIN,SAN ANTONIO,78207,true,false,5
07fcca40af9ba886f6c30609c381109b208f79058b6984d37dda10ecbb7b89e3,RIO QUEEN CITRUS INC,4012 E GOODWIN RD,MISSION,78574,true,false,5
c7e956b6a18d5111cc6b16725695855dbf51385b355aad467220e50179274aaa,J H BRANDT  ASSOCIATES INC,657 FORGE ROAD,CARLISLE,17013,true,false,5
de0afa8842e97d5d6179242105e1c00b1afcabecab4e2dd797e309e363003300,AETNA INC,151 FARMINGTON AVE,HARTFORD,6103,true,false,5
fde873ac565f5f9c5148a87bf786d78f3c37da8084a2afbdd30e213c55f5e879,FRONTERA PRODUCE LTD,PO BOX 2019,EDINBURG,78539,true,false,5
446f24b84a21cc2b57d61268eea549a9b20e49b1b40dd0a9c818c5f6d0c5dc10,NECESSARY OBJECTS LTD,503 BROADWAY,NEW YORK,10012,true,false,5
4d088388d4f1c62ff5e9dd8a554d22722bf2fe02ca47b9f1e5e7159d37a63703,PAT SCATES  SONS,135 E GALT RD,SHAWNEETOWN,62984,true,false,5
948d462eb13ea6d81775d47f6717cf6e331a76eb9a6e3c3631f0550806a30038,BYER CALIFORNIA INC,66 POTRERO AVENUE,SAN FRANCISCO,94103,true,false,5
a4c2a6b9019b2b3ac3466845cc7be37e54988b421d6d39c31041845eda880947,BYER OF CALIFORNIA INC,66 POTRERO AVENUE,SAN FRANCISCO,94103,true,false,5
6b4996e87d934c4ba1bcaa4fc0c538fa388bc42986e3b1421e2a459f1349eb75,SASA BROTHERS INC,20 SCITUATE AVENUE,JOHNSTON,2919,true,false,5
83789422216b9689f10748680f6f186501388d146e6a763245295e3279709dc3,AIRTONE CORPORATION,8401 7TH AVENUE,BROOKLYN,11228,true,false,5
b03154452584888618ab2d09e1829e976f39480a632a618ec07e5f20547b7ed7,KNIGHT PROTECTIVE SERVICE INC,4200 PARLIAMENT PLACE,LANHAM,20706,true,false,4
6e66397550f79eef310f77ccb577a109d892ffa4007ba2179cf5179002f93806,NEVER QUIT ENTERPRISES INC,331 PARKRIDGE AVENUE SUITE 3,ORANGE PARK,32065,true,false,4
d238bd8971e20cb5375f31ab9d94b9c1cdc2fc93aff395b697e69379493a54fd,USPS,1 POST OFFICE DRIVE,SAN ANTONIO,78284,true,false,4
1d4ce83db869373df1b31e5815a77d8e5b259f804cc6476b60e2a8b9655e9b15,RIFU APPAREL CORPORATION,PO BOX 502977,SAIPAN,96950,true,false,4
447aafaab0951bd29c06e93e59521a5f2a7c0863ee4ebd9b6e1fc9297107c82e,GOLDEN CORRAL,389 WINCHESTER PARK BLVD,BOYNTON BEACH,33436,true,true,4
